Page number,Footnote text
16,"* Burnet, vol. ii. p. 373."
17,"E Burnet, vol. ii. p. 574. as Ibid. Heylin, p. 101."
18,"d camden in Kennet, p. 370. Burnet, vol, ii. p. 375."
19,"* Father Paul, lib. 5. I Strype's Ann. vol. i. p."
20,"8 Byrnet, vol. ii. p. 377, Camden, p. 370,"
21,"Burnet, vol. ii. p. 378. Camden, p. 371. I Heylin, p. 103."
21,"* Heylin, p. 104. Strype, vol. i. p. 41."
22,"I Camden, p. 371. Heylin, p. 104. Strype, vol. i. p. 54. Stowe, p. 635."
22,""" Burnet, vol. ii. p. 380. Strype, vol. i. p. 29."
23,"Notwithstanding the byass of the nation towards the protestant sect, it"
23,"appears, that some violence, at least according to our present ideas, was used"
23,in these elections; Five candidates were nominated by the court to each
23,borough and three to each county; and by the sheriffs authority the members
23,were chosen from among these candidates. Ses ftate papers collected by Edward
23,"carl of Clarendon, p. 92."
24,"P Camden, p. 372. Heylin, p. 107, 108."
24,"1 1 Eliz, cap. 1. This last power was anew recognized in the act of uni-"
24,formity. 1 Eliz. cap. 2.
25,I 1 Elis. cap.
26,"s Strype, vol. i. p. 79. I Ibid. P. 95. ""1 Eliz, cap. 2."
27,""" See note [A] at the end of the volume"
28,"x Camdem, p. 375. Sir Simon d' Ewes."
28,"Y It is thought remarkable by Camden, that though this session was the"
28,"first of the reign, no person was attainted; but on the contrary, some re-"
28,"stored in blood by the parliament. A good symptom of the lenity, at least"
28,"of the prudence, of the queen's government; and that it should appear re-"
28,"markable, is a proof of the rigour of preceding reigns."
29,"* Camden, P. 376. Heylin, p. 115. Strype, yol, i. p. 73. with some"
29,"small varlations. a Heylin, P. 11."
30,"b Burnet, vol. ii. p. 376, 397. Camden, p. 371. ""Camden,"
30,"p. 378. Strype, vol. i. p. 150, 3701"
31,"* Yore's Fu View, yel. i. p. 59. ""Forbes, vol. i. p. 54."
32,"f Forbes, p. 68. Rymer, tom. xv. p. 505."
37,"E Keith, p. 66. Knox, p. 101. h The reformers used at that time"
37,"king Edward's liturgy in Scotland. Forbes, p. 155. I Keith, p. 66."
37,"Knox, p. 101."
38,"* Knox, p. 122."
39,"I Knox, p. 121. m Ibid. p. 123. "" Keith, p. 78,"
39,"II 82. Mebvil's Memoirs, p. 24. Jeb, vol. ii. p. 416"
40,P See note [B] at the end of the volume
41,"Spotswood, p. 121. Knox, p. 127. I Knox, p. 129."
42,"s Knox, p 131. I Ibid. p. 133 uA contemptuous"
42,term for a priest.
43,""" Keith, p. 85, 86, 87. Knox, p. 134. * Knox, p. 139."
43,"Y 1bid, Spotswood, p. 123."
44,Z See note [C] at the end of the volume.
44,"a Keith, p. 89. Knox, p. 138."
45,See note [D] at the end of the volume.
46,"e Spotswood, p. 134. Thuan. lib. xxiv. c. 10."
46,""" Forbes, vel. i. p. 1359. Thuan. lib. xxive c 13."
47,* See note [E] at the end of the volume.
48,"f Forbes, vol. i. p. 134. 136. 149. 150. 159. 165. 181. 194.229.231."
48,"235241. 253. * 5 Fotbes, vol. i. p. 387. Jebb, vol. i"
48,"P. 448. Keith, append. 24."
49,"h Forbes, vol. i. p. 454. 460. I Spotswood, p. 146. k Knor,"
49,"217. Haynes's State Pap-re, vol. i. p. 153. Rymer, tom. xv. p 569"
49,"I Haynes, vol, i. p. 256. 259."
50,"m Haynes, vol. i. p. 223."
51,"p. 9 "" Forbes, vol. i pP. 354. 372. Jebb, vol. ii. p. 452."
52,"? Knox, p. 237 238. a Ibid. p. 254."
55,"1 Forhes, vol. i. p. 214. Throgmorton, about this time, unwilling to"
55,"entrust to letters the great secrets committed to him, obtained leave, under"
55,"some pretext, to come over to London."
57,"s Goodall, vol. i. p. 175."
59,"* Caballa, p. 374. Spotswood, p. 77"
60,"u Keith, p. 179. Jebb, vol. ii. p. 483. v Buchan. lib. 2vi"
60,"Spotswood, pe i78, 179. Keith, p 180. Thuan. lib. xrix. *. 2."
62,"* Knox, p. 287. Y Ibid. p. 284, 285, 287. Spotswood, p. 179"
62,"* Keith, p. 179. a lbid. p. 2024. 2 Ibid. p. 189."
62,"s Ibid. p, 192."
